session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
2,15,xmcva5o4,28,scl,Decision,1564769020,28,2,FALSE
2,15,xmcva5o4,29,scl,Results,1564769026,6,2,FALSE
2,15,xmcva5o4,30,BFI_S,Introduction,1564769029,3,2,FALSE
2,15,xmcva5o4,31,BFI_S,Questionaire,1564769062,33,2,FALSE
2,15,xmcva5o4,32,final_payoff,Results,1564769070,8,2,FALSE
2,15,xmcva5o4,33,payment_info,PaymentInfo,1564769075,5,2,FALSE
2,16,vltqmwm9,1,Demographic,Introduction,1564769237,784,2,FALSE
2,16,vltqmwm9,2,Demographic,Questionaire,1564769252,15,2,FALSE
2,16,vltqmwm9,3,matrix_new,Start,1564769284,32,2,FALSE
2,16,vltqmwm9,4,matrix_new,training,1564769313,29,2,FALSE
2,16,vltqmwm9,5,matrix_new,training2,1564769411,98,2,FALSE
2,16,vltqmwm9,6,matrix_new,training3,1564769413,2,2,FALSE
2,16,vltqmwm9,7,matrix_new,q1,1564769424,11,2,FALSE
2,16,vltqmwm9,8,matrix_new,q2,1564769431,7,2,FALSE
2,16,vltqmwm9,9,matrix_new,q3,1564769497,66,2,FALSE
2,16,vltqmwm9,10,matrix_new,q4,1564769504,7,2,FALSE
2,16,vltqmwm9,11,matrix_new,q5,1564769512,8,2,FALSE
2,16,vltqmwm9,12,matrix_new,q6,1564769525,13,2,FALSE
2,16,vltqmwm9,13,matrix_new,q7,1564769572,47,2,FALSE
2,16,vltqmwm9,14,matrix_new,q8,1564769585,13,2,FALSE
2,16,vltqmwm9,15,matrix_new,q9,1564769598,13,2,FALSE
2,16,vltqmwm9,16,matrix_new,q10,1564769605,7,2,FALSE
2,16,vltqmwm9,17,matrix_new,Results,1564769611,6,2,FALSE
2,16,vltqmwm9,18,matrix_new,Payoff2,1564769621,10,2,FALSE
2,17,5136totl,1,Demographic,Introduction,1564768663,210,2,FALSE
2,17,5136totl,2,Demographic,Questionaire,1564768717,54,2,FALSE
2,17,5136totl,3,matrix_new,Start,1564768981,264,2,FALSE
2,17,5136totl,4,matrix_new,training,1564768994,13,2,FALSE
2,17,5136totl,5,matrix_new,training2,1564769004,10,2,FALSE
2,17,5136totl,6,matrix_new,training3,1564769009,5,2,FALSE
2,17,5136totl,7,matrix_new,q1,1564769020,11,2,FALSE
2,17,5136totl,8,matrix_new,q2,1564769028,8,2,FALSE
2,17,5136totl,9,matrix_new,q3,1564769038,10,2,FALSE
2,17,5136totl,10,matrix_new,q4,1564769044,6,2,FALSE
2,17,5136totl,11,matrix_new,q5,1564769050,6,2,FALSE
2,17,5136totl,12,matrix_new,q6,1564769059,9,2,FALSE
2,17,5136totl,13,matrix_new,q7,1564769073,14,2,FALSE
